,ra,dec
752,149.931624119,1.83003086705
753,149.938902062,1.84796578797
754,150.0230300136,2.2065667888
755,150.0351300198,2.2465687073
756,150.0371299917,2.2446805683
757,149.940709252,1.80623057338
758,149.941636149,1.81239488418
759,150.1266999857,2.1751096266
760,150.1393299992,2.3430127877
761,149.961578605,1.77256208234
762,149.8568299694,2.2733967087
764,149.8737799811,2.2852987835
765,149.8786699603,2.3147447161
766,150.0467900125,1.8667847115
767,149.9130599762,2.3575536932
768,149.9134699643,2.3514101956
769,149.9365899802,2.2996961845
770,150.1436699704,1.9304105958
771,149.9591000164,2.3076370222
772,149.9702199726,2.2792380053
776,149.69756899,2.30433058313
777,149.700945255,2.43556126159
778,149.714104056,2.3241623219
779,149.717361208,2.36487819864
780,149.7211085,2.35998586824
782,149.731419162,2.36793129304
783,149.770999429,2.36597414625
784,149.776552489,2.40124232516
785,150.0677999815,1.8513298842
786,149.7926499837,2.3929517081
787,149.7968999617,2.3062214941
788,149.7974799885,2.289653311
789,150.0814400138,1.9061171146
790,149.8230599895,2.3685038301
791,150.0977700099,1.8452300966
792,149.8417599879,2.3671481871
794,149.8745300096,2.3614885802
795,150.1124000146,1.9044565136
820,150.0366099852,2.1105652106
822,150.0779199783,2.0431886141
823,150.0883700072,2.051930194
826,150.1116499724,2.1250687043
827,150.11983,2.11738
832,149.9505400163,2.0916927048
834,149.9749000095,2.1399440836
836,150.0028099584,2.1576991298
837,150.0028299877,2.1336205082
839,150.0158099998,2.0354507012
840,150.0186699654,2.1655812297
841,150.0206699662,2.0601877975
843,150.0686099874,2.1535335248
846,149.7992299885,2.1695418034
849,149.8151599805,2.1492476204
851,149.8789599715,2.1145208105
853,149.8830900042,2.1716852089
854,149.893450007,2.0882041021
856,149.9218699902,2.1923045798
858,149.620972746,2.19867330417
859,149.645478218,2.1703070264
860,149.648855783,2.23282904788
862,149.654631165,2.22006833419
863,149.670202447,2.22724829313
865,149.703731215,2.23490401187
866,149.7153399847,2.2121448836
867,149.71626831,2.26082007196
869,149.748042463,2.25310255402
871,149.7596000086,2.2555324734
